Table Index,eLNA Index,eLNA Gain,iLNA Index,iLNA Gain,Mixer Index,Mixer Gain,Word 1,TIA Index,TIA Gain,LPF Index,Word 2,DC Cal,Digital Index,Word 3,Total Gain,,,,
0,0,0,0,3,0,0,0,0,-6,0,0,1,0,20,-3,,,,
1,0,0,0,3,0,0,0,0,-6,0,0,0,0,0,-3,,,,
2,0,0,0,3,0,0,0,0,-6,0,0,0,0,0,-3,,,,
3,0,0,0,3,0,0,0,0,-6,1,1,0,0,0,-2,,,,
4,0,0,0,3,0,0,0,0,-6,2,2,0,0,0,-1,,,,
5,0,0,0,3,0,0,0,0,-6,3,3,0,0,0,0,,,,
6,0,0,0,3,0,0,0,0,-6,4,4,0,0,0,1,,,,
7,0,0,0,3,0,0,0,0,-6,5,5,0,0,0,2,,,,
8,0,0,0,3,1,3,1,0,-6,3,3,1,0,20,3,,,,
9,0,0,0,3,1,3,1,0,-6,4,4,0,0,0,4,,,,
10,0,0,0,3,1,3,1,0,-6,5,5,0,0,0,5,,,,
11,0,0,0,3,1,3,1,0,-6,6,6,0,0,0,6,,,,
12,0,0,0,3,1,3,1,0,-6,7,7,0,0,0,7,,,,
13,0,0,0,3,1,3,1,0,-6,8,8,0,0,0,8,,,,
14,0,0,0,3,1,3,1,0,-6,9,9,0,0,0,9,,,,
15,0,0,0,3,1,3,1,0,-6,10,A,0,0,0,10,,,,
16,0,0,0,3,1,3,1,0,-6,11,B,0,0,0,11,,,,
17,0,0,0,3,1,3,1,0,-6,12,C,0,0,0,12,,,,
18,0,0,0,3,1,3,1,0,-6,13,D,0,0,0,13,,,,
19,0,0,0,3,1,3,1,0,-6,14,E,0,0,0,14,,,,
20,0,0,0,3,2,9,2,0,-6,9,9,1,0,20,15,,,,
21,0,0,0,3,2,9,2,0,-6,10,A,0,0,0,16,,,,
22,0,0,0,3,2,9,2,0,-6,11,B,0,0,0,17,,,,
23,0,0,0,3,2,9,2,0,-6,12,C,0,0,0,18,,,,
24,0,0,0,3,2,9,2,0,-6,13,D,0,0,0,19,,,,
25,0,0,0,3,2,9,2,0,-6,14,E,0,0,0,20,,,,
26,0,0,0,3,2,9,2,0,-6,15,F,0,0,0,21,,,,
27,0,0,0,3,2,9,2,0,-6,16,10,0,0,0,22,,,,
28,0,0,0,3,2,9,2,1,0,11,2B,1,0,20,23,,,,
29,0,0,0,3,2,9,2,1,0,12,2C,0,0,0,24,,,,
30,0,0,0,3,4,15,4,1,0,7,27,1,0,20,25,,,,
31,0,0,0,3,4,15,4,1,0,8,28,0,0,0,26,,,,
32,0,0,0,3,4,15,4,1,0,9,29,0,0,0,27,,,,
33,0,0,0,3,4,15,4,1,0,10,2A,0,0,0,28,,,,
34,0,0,0,3,4,15,4,1,0,11,2B,0,0,0,29,,,,
35,0,0,1,14,4,15,24,1,0,1,21,1,0,20,30,,,,
36,0,0,1,14,4,15,24,1,0,2,22,0,0,0,31,,,,
37,0,0,2,17,4,15,44,1,0,0,20,1,0,20,32,,,,
38,0,0,2,17,4,15,44,1,0,1,21,0,0,0,33,,,,
39,0,0,2,17,4,15,44,1,0,2,22,0,0,0,34,,,,
40,0,0,2,17,4,15,44,1,0,3,23,0,0,0,35,,,,
41,0,0,2,17,4,15,44,1,0,4,24,0,0,0,36,,,,
42,0,0,2,17,4,15,44,1,0,5,25,0,0,0,37,,,,
43,0,0,2,17,4,15,44,1,0,6,26,0,0,0,38,,,,
44,0,0,2,17,4,15,44,1,0,7,27,0,0,0,39,,,,
45,0,0,2,17,4,15,44,1,0,8,28,0,0,0,40,,,,
46,0,0,2,17,4,15,44,1,0,9,29,0,0,0,41,,,,
47,0,0,2,17,4,15,44,1,0,10,2A,0,0,0,42,,,,
48,0,0,2,17,4,15,44,1,0,11,2B,0,0,0,43,,,,
49,0,0,2,17,4,15,44,1,0,12,2C,0,0,0,44,,,,
50,0,0,2,17,4,15,44,1,0,13,2D,0,0,0,45,,,,
51,0,0,2,17,4,15,44,1,0,14,2E,0,0,0,46,,,,
52,0,0,2,17,4,15,44,1,0,15,2F,0,0,0,47,,,,
53,0,0,2,17,4,15,44,1,0,16,30,0,0,0,48,,,,
54,0,0,2,17,4,15,44,1,0,17,31,0,0,0,49,,,,
55,0,0,3,21,4,15,64,1,0,14,2E,1,0,20,50,,,,
56,0,0,3,21,4,15,64,1,0,15,2F,0,0,0,51,,,,
57,0,0,3,21,4,15,64,1,0,16,30,0,0,0,52,,,,
58,0,0,3,21,4,15,64,1,0,17,31,0,0,0,53,,,,
59,0,0,3,21,4,15,64,1,0,18,32,0,0,0,54,,,,
60,0,0,3,21,4,15,64,1,0,19,33,0,0,0,55,,,,
61,0,0,3,21,4,15,64,1,0,20,34,0,0,0,56,,,,
62,0,0,3,21,4,15,64,1,0,21,35,0,0,0,57,,,,
63,0,0,3,21,4,15,64,1,0,22,36,0,0,0,58,,,,
64,0,0,3,21,4,15,64,1,0,23,37,0,0,0,59,,,,
65,0,0,3,21,4,15,64,1,0,24,38,0,0,0,60,,,,
66,0,0,3,21,5,16,65,1,0,24,38,1,0,20,61,,,,
67,0,0,3,21,6,17,66,1,0,24,38,1,0,20,62,,,,
68,0,0,3,21,7,18,67,1,0,24,38,1,0,20,63,,,,
69,0,0,3,21,8,19,68,1,0,24,38,1,0,20,64,,,,
70,0,0,3,21,9,20,69,1,0,24,38,1,0,20,65,,,,
71,0,0,3,21,10,21,6A,1,0,24,38,1,0,20,66,,,,
72,0,0,3,21,11,22,6B,1,0,24,38,1,0,20,67,,,,
73,0,0,3,21,12,23,6C,1,0,24,38,1,0,20,68,,,,
74,0,0,3,21,13,24,6D,1,0,24,38,1,0,20,69,,,,
75,0,0,3,21,14,25,6E,1,0,24,38,1,0,20,70,,,,
76,0,0,3,21,15,26,6F,1,0,24,38,1,0,20,71,,,,
77,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,
